[('tile_ic', [-1, 3]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,173
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,174
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,175
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,176
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,177
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,178
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,179
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,180
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 7]), ('unroll_kw', False)],direct,None,181
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,182
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,183
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,184
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,185
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,186
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,187
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,188
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,189
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,190
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,191
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,192
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,193
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,194
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 8]), ('unroll_kw', False)],direct,None,195
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 14]), ('unroll_kw', False)],direct,None,196
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 1]), ('tile_ow', [-1, 14]), ('unroll_kw', False)],direct,None,197
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 14]), ('unroll_kw', False)],direct,None,198
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 2]), ('tile_ow', [-1, 14]), ('unroll_kw', False)],direct,None,199
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 14]), ('unroll_kw', False)],direct,None,200
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 4]), ('tile_ow', [-1, 14]), ('unroll_kw', False)],direct,None,201
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 14]), ('unroll_kw', False)],direct,None,202
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 8]), ('tile_ow', [-1, 14]), ('unroll_kw', False)],direct,None,203
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 14]), ('unroll_kw', False)],direct,None,204
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 16]), ('tile_ow', [-1, 14]), ('unroll_kw', False)],direct,None,205
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 14]), ('unroll_kw', False)],direct,None,206
[('tile_ic', [-1, 3]), ('tile_oc', [-1, 32]), ('tile_ow', [-1, 14]), ('unroll_kw', False)],direct,None,207
[('tile_ic', [-1, 1]), ('tile_oc', [-1, 64]), ('tile_ow', [-1, 14]), ('unroll_kw', False)],direct,None,208
